# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   85       2.977671664955e-10       7.200046072138e-14      -1.788219670917e-12       0.000000000000e+00       1.638224684608e-11       2.153996971589e-12      -1.111989856591e-14 
   86       3.014026191691e-10       7.403049584315e-14      -1.866941474990e-12       0.000000000000e+00       1.590698376127e-11       2.101737085768e-12      -1.112537338072e-14 
   87       3.050693747284e-10       7.606575682802e-14      -1.946580589421e-12       0.000000000000e+00       1.544979978371e-11       2.051339625977e-12      -1.108339987334e-14 
   88       3.087676931782e-10       7.810495220177e-14      -2.027106812477e-12       0.000000000000e+00       1.501023035761e-11       2.002759101251e-12      -1.099713252800e-14 
   89       3.124976025656e-10       8.014679011645e-14      -2.108490527163e-12       0.000000000000e+00       1.458757926133e-11       1.955924889305e-12      -1.087021266660e-14 
   90       3.162588877702e-10       8.218997966493e-14      -2.190702773843e-12       0.000000000000e+00       1.418090973866e-11       1.910740263737e-12      -1.070678382237e-14 
   91       3.200510792944e-10       8.423323219554e-14      -2.273715322863e-12       0.000000000000e+00       1.378903563006e-11       1.867081421235e-12      -1.051150711346e-14 
   92       3.238734420536e-10       8.627526262670e-14      -2.357500747175e-12       0.000000000000e+00       1.341051250400e-11       1.824796508782e-12      -1.028957661662e-14 
   93       3.277252362812e-10       8.831469113394e-14      -2.442025250475e-12       0.000000000000e+00       1.304398039066e-11       1.783742771920e-12      -1.004622327482e-14 
   94       3.316065694803e-10       9.034972844192e-14      -2.527225759993e-12       0.000000000000e+00       1.268927021145e-11       1.743906503594e-12      -9.785107878828e-15 
   95       3.355176524756e-10       9.237844541065e-14      -2.613029506700e-12       0.000000000000e+00       1.234644813351e-11       1.705299420965e-12      -9.509713689639e-15 
   96       3.394585313417e-10       9.439886839339e-14      -2.699360936354e-12       0.000000000000e+00       1.201547480625e-11       1.667921708292e-12      -9.223844609793e-15 
   97       3.434290799281e-10       9.640897918369e-14      -2.786141682677e-12       0.000000000000e+00       1.169620131898e-11       1.631761567414e-12      -8.931633536187e-15 
   98       3.474289923848e-10       9.840671496242e-14      -2.873290540534e-12       0.000000000000e+00       1.138836515862e-11       1.596794768241e-12      -8.637550712908e-15 
   99       3.514577756877e-10       1.003899682448e-13      -2.960723439116e-12       0.000000000000e+00       1.109158616734e-11       1.562984199243e-12      -8.346412084051e-15 
  100       3.555147421642e-10       1.023565868275e-13      -3.048353415114e-12       0.000000000000e+00       1.080536250021e-11       1.530279417930e-12      -8.063387646544e-15 
  101       3.595990020185e-10       1.043043737355e-13      -3.136090585903e-12       0.000000000000e+00       1.052906658288e-11       1.498616201345e-12      -7.794009802975e-15 
  102       3.637094558570e-10       1.062310871693e-13      -3.223842122718e-12       0.000000000000e+00       1.026194106925e-11       1.467916096549e-12      -7.544181714411e-15 
  103       3.678447872142e-10       1.081344404521e-13      -3.311512223833e-12       0.000000000000e+00       1.000309479912e-11       1.438085971107e-12      -7.320185653226e-15 
  104       3.720037442846e-10       1.100122078700e-13      -3.399008268823e-12       0.000000000000e+00       9.751704826378e-12       1.409039639978e-12      -7.127233952582e-15 
  105       3.761860445634e-10       1.118625585926e-13      -3.486260285928e-12       0.000000000000e+00       9.507662291499e-12       1.380767041575e-12      -6.964880933317e-15 
  106       3.803915790443e-10       1.136837679712e-13      -3.573204076682e-12       0.000000000000e+00       9.271006667103e-12       1.353273611862e-12      -6.831003882046e-15 
  107       3.846201296800e-10       1.154741167715e-13      -3.659775310278e-12       0.000000000000e+00       9.041725722160e-12       1.326558838004e-12      -6.723197538696e-15 
  108       3.888713650859e-10       1.172318922833e-13      -3.745909564670e-12       0.000000000000e+00       8.819753744170e-12       1.300616051445e-12      -6.638766433910e-15 
  109       3.931448362438e-10       1.189553894318e-13      -3.831542367673e-12       0.000000000000e+00       8.604969761328e-12       1.275432221001e-12      -6.574717226454e-15 
  110       3.974399722052e-10       1.206429118882e-13      -3.916609238072e-12       0.000000000000e+00       8.397195764708e-12       1.250987745937e-12      -6.527751040612e-15 
  111       4.017560757953e-10       1.222927731803e-13      -4.001045726717e-12       0.000000000000e+00       8.196194930428e-12       1.227256249057e-12      -6.494255803597e-15 
  112       4.060923193160e-10       1.239032978033e-13      -4.084787457633e-12       0.000000000000e+00       8.001669841832e-12       1.204204369786e-12      -6.470298582945e-15 
  113       4.104477402500e-10       1.254728223304e-13      -4.167770169122e-12       0.000000000000e+00       7.813260711659e-12       1.181791557257e-12      -6.451617923925e-15 
  114       4.148212369640e-10       1.269996965235e-13      -4.249929754862e-12       0.000000000000e+00       7.630543604222e-12       1.159969863394e-12      -6.433616186938e-15 
  115       4.192115644122e-10       1.284822844443e-13      -4.331202305014e-12       0.000000000000e+00       7.453028657576e-12       1.138683735997e-12      -6.411351884918e-15 
  116       4.236175057505e-10       1.299189943263e-13      -4.411522684354e-12       0.000000000000e+00       7.280267487479e-12       1.117882596882e-12      -6.380549092607e-15 
  117       4.280384200332e-10       1.313083699403e-13      -4.490819982675e-12       0.000000000000e+00       7.112194014448e-12       1.097560753572e-12      -6.340781285339e-15 
  118       4.324737533479e-10       1.326490124745e-13      -4.569021585852e-12       0.000000000000e+00       6.948821929238e-12       1.077721974148e-12      -6.292662007645e-15 
  119       4.369228661517e-10       1.339395541174e-13      -4.646054617175e-12       0.000000000000e+00       6.790138415210e-12       1.058367043531e-12      -6.236863753276e-15 
  120       4.413850305305e-10       1.351786594221e-13      -4.721845965523e-12       0.000000000000e+00       6.636103335865e-12       1.039493669610e-12      -6.174119295282e-15 
  121       4.458594274579e-10       1.363650266720e-13      -4.796322313527e-12       0.000000000000e+00       6.486648422374e-12       1.021096389368e-12      -6.105223016094e-15 
  122       4.503451440541e-10       1.374973892451e-13      -4.869410165740e-12       0.000000000000e+00       6.341676461109e-12       1.003166475010e-12      -6.031032237604e-15 
  123       4.548411708445e-10       1.385745169795e-13      -4.941035876804e-12       0.000000000000e+00       6.201060481169e-12       9.856918400879e-13      -5.952468551245e-15 
  124       4.593463990191e-10       1.395952175383e-13      -5.011125679620e-12       0.000000000000e+00       6.064642941918e-12       9.686569456303e-13      -5.870519148072e-15 
  125       4.638596176911e-10       1.405583377744e-13      -5.079605713513e-12       0.000000000000e+00       5.932234920507e-12       9.520427062666e-13      -5.786238148841e-15 
  126       4.683795111558e-10       1.414627650958e-13      -5.146402052402e-12       0.000000000000e+00       5.803615299411e-12       9.358263963551e-13      -5.700747934093e-15 
  127       4.729046561497e-10       1.423074288306e-13      -5.211440732968e-12       0.000000000000e+00       5.678529953959e-12       9.199815561094e-13      -5.615240474229e-15 
  128       4.774335191093e-10       1.430913015918e-13      -5.274647782819e-12       0.000000000000e+00       5.556690939859e-12       9.044778977254e-13      -5.530978659596e-15 
  129       4.819646182433e-10       1.438134453577e-13      -5.335950586095e-12       0.000000000000e+00       5.437838383120e-12       8.892882591432e-13      -5.449052901659e-15 
  130       4.864970356733e-10       1.444731525292e-13      -5.395282089821e-12       0.000000000000e+00       5.321935551778e-12       8.744105272055e-13      -5.369617922388e-15 
  131       4.910299565568e-10       1.450698229986e-13      -5.452577114372e-12       0.000000000000e+00       5.208993747991e-12       8.598479532908e-13      -5.292574363575e-15 
  132       4.955625077642e-10       1.456029224891e-13      -5.507771094773e-12       0.000000000000e+00       5.099011163689e-12       8.456022782456e-13      -5.217805593690e-15 
  133       5.000937563165e-10       1.460719842403e-13      -5.560800118434e-12       0.000000000000e+00       4.991972516776e-12       8.316736889414e-13      -5.145177286772e-15 
  134       5.046227078240e-10       1.464766106933e-13      -5.611600962894e-12       0.000000000000e+00       4.887848687342e-12       8.180607748317e-13      -5.074537001321e-15 
  135       5.091483049243e-10       1.468164751750e-13      -5.660111133550e-12       0.000000000000e+00       4.786596353861e-12       8.047604845090e-13      -5.005713759183e-15 
  136       5.136694257206e-10       1.470913235837e-13      -5.706268901406e-12       0.000000000000e+00       4.688157629402e-12       7.917680822624e-13      -4.938517624447e-15 
  137       5.181848822200e-10       1.473009760740e-13      -5.750013340799e-12       0.000000000000e+00       4.592459697834e-12       7.790771046342e-13      -4.872739282326e-15 
  138       5.226934187717e-10       1.474453287415e-13      -5.791284367148e-12       0.000000000000e+00       4.499414450031e-12       7.666793169772e-13      -4.808149618055e-15 
  139       5.271937105056e-10       1.475243553078e-13      -5.830022774687e-12       0.000000000000e+00       4.408918120079e-12       7.545646700120e-13      -4.744499295774e-15 
  140       5.316843617697e-10       1.475381088060e-13      -5.866170274201e-12       0.000000000000e+00       4.320850921479e-12       7.427212563838e-13      -4.681518337423e-15 
  141       5.361639045695e-10       1.474867232650e-13      -5.899669530769e-12       0.000000000000e+00       4.235076683357e-12       7.311352672197e-13      -4.618915701627e-15 
  142       5.406307970052e-10       1.473704153949e-13      -5.930464201498e-12       0.000000000000e+00       4.151442486668e-12       7.197909486858e-13      -4.556378862589e-15 
  143       5.450834217105e-10       1.471894862716e-13      -5.958498973266e-12       0.000000000000e+00       4.069778300400e-12       7.086705585445e-13      -4.493573388980e-15 
  144       5.495202162443e-10       1.469443333630e-13      -5.983719943708e-12       0.000000000000e+00       3.989932632438e-12       6.977582356804e-13      -4.430212327595e-15 
