#scalar perturbations for mode k = 1.000000000000e-04 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf             20:omega_scf             21:delta0_scf            22:delta1_scf         
       6.543457566313e-02       1.411808845642e-07      -1.427205897491e-11      -7.781691088756e-22       3.130800123019e-18       7.827000307547e-18       7.008733176448e-30       1.565400061509e-18      -1.070404423118e-11      -7.781691086783e-22       6.011196354344e-01       6.994352883815e-01      -1.427205897491e-11      -1.152497654269e-21       1.715860475820e-12      -1.070404423120e-11       0.000000000000e+00      -8.519975802466e-16      -5.571296578308e-25       1.481680942845e-10      -8.519975802466e-16      -1.767839313500e-13 
       6.885817146532e-02       1.485677761662e-07      -1.580456800577e-11      -9.068096510305e-22       3.648385111745e-18       9.120962779362e-18       9.044453022035e-30       1.824192555872e-18      -1.185342600433e-11      -9.068096507752e-22       6.011194497737e-01       6.994348602067e-01      -1.580456800576e-11      -1.343025962900e-21       1.900108012353e-12      -1.185342600434e-11       0.000000000000e+00      -1.157205551143e-15      -7.961957342335e-25       1.481676258626e-10      -1.157205551143e-15      -2.167985479714e-13 
       7.255286493414e-02       1.565396263176e-07      -1.754609019781e-11      -1.060744394440e-21       4.267747599247e-18       1.066936899812e-17       1.174572150632e-29       2.133873799624e-18      -1.315956764836e-11      -1.060744394107e-21       6.011192305919e-01       6.994343683327e-01      -1.754609019780e-11      -1.571018883940e-21       2.109484597091e-12      -1.315956764838e-11       0.000000000000e+00      -1.583845012546e-15      -1.148010696085e-24       1.481670879947e-10      -1.583845012546e-15      -2.672261768179e-13 
       7.624755840296e-02       1.645115063903e-07      -1.937861183906e-11      -1.231181953901e-21       4.953517281538e-18       1.238379320384e-17       1.505700615254e-29       2.476758640769e-18      -1.453395887930e-11      -1.231181953474e-21       6.011189802709e-01       6.994338323425e-01      -1.937861183905e-11      -1.823455987698e-21       2.329801949275e-12      -1.453395887932e-11       0.000000000000e+00      -2.134364990458e-15      -1.625485574550e-24       1.481665129988e-10      -2.134364990458e-15      -3.259832139325e-13 
       7.994225187178e-02       1.724834184833e-07      -2.130213246056e-11      -1.418962507098e-21       5.709076294919e-18       1.427269073730e-17       1.907624695189e-29       2.854538147460e-18      -1.597659934542e-11      -1.418962506557e-21       6.011186944726e-01       6.994332466235e-01      -2.130213246054e-11      -2.101582037384e-21       2.561060037525e-12      -1.597659934544e-11       0.000000000000e+00      -2.836094014187e-15      -2.264015529527e-24       1.481658970796e-10      -2.836094014187e-15      -3.939422883373e-13 
       8.363694534060e-02       1.804553649046e-07      -2.331665156208e-11      -1.624926209105e-21       6.537806745077e-18       1.634451686269e-17       2.391134811497e-29       3.268903372539e-18      -1.748748867156e-11      -1.624926208425e-21       6.011183729001e-01       6.994326100498e-01      -2.331665156206e-11      -2.406641789978e-21       2.803258823613e-12      -1.748748867160e-11       0.000000000000e+00      -3.720694434075e-15      -3.106571986727e-24       1.481652362785e-10      -3.720694434075e-15      -4.720203584402e-13 
       8.733163880942e-02       1.884273481794e-07      -2.542216859782e-11      -1.849913192391e-21       7.443090932818e-18       1.860772733204e-17       2.968066207202e-29       3.721545466409e-18      -1.906662644836e-11      -1.849913191546e-21       6.011180093200e-01       6.994319148789e-01      -2.542216859779e-11      -2.739879996047e-21       3.056398271507e-12      -1.906662644840e-11       0.000000000000e+00      -4.824615718647e-15      -4.204864662717e-24       1.481645264808e-10      -4.824615718647e-15      -5.611789752480e-13 
       9.102633227824e-02       1.963993710583e-07      -2.761868296786e-11      -2.094763566559e-21       8.428311114387e-18       2.107077778597e-17       3.651347197544e-29       4.214155557194e-18      -2.071401222589e-11      -2.094763565519e-21       6.011176018641e-01       6.994311585083e-01      -2.761868296783e-11      -3.102541399693e-21       3.320478345408e-12      -2.071401222594e-11       0.000000000000e+00      -6.189576041194e-15      -5.620618881957e-24       1.481637634228e-10      -6.189576041194e-15      -6.624245594260e-13 
       9.472102574706e-02       2.043714365253e-07      -2.990619402182e-11      -2.360317417738e-21       9.496849659198e-18       2.374212414799e-17       4.455047565781e-29       4.748424829599e-18      -2.242964551636e-11      -2.360317416469e-21       6.011171470176e-01       6.994303362566e-01      -2.990619402178e-11      -3.495870738016e-21       3.595499003276e-12      -2.242964551642e-11       0.000000000000e+00      -7.863074474824e-15      -7.426974332989e-24       1.481629427004e-10      -7.863074474824e-15      -7.768087126547e-13 
       9.957816470904e-02       2.148517888629e-07      -3.305185904339e-11      -2.742332426758e-21       1.103402751835e-17       2.758506879589e-17       5.720637094388e-29       5.517013759177e-18      -2.478889428254e-11      -2.742332425127e-21       6.011164616753e-01       6.994291361760e-01      -3.305185904335e-11      -4.061703187256e-21       3.973693515933e-12      -2.478889428261e-11       0.000000000000e+00      -1.062390854730e-14      -1.054252859819e-23       1.481617683854e-10      -1.062390854730e-14      -9.490209556466e-13 
