# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# All scalar field variables are dimensionless. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:Omega_phi_scf         18:theta_phi_scf         19:y_phi_scf             20:gr.fac. D             21:gr.fac. f          
       3.263088290835e+08       7.098685565761e-15       1.420400920324e-03       2.297301820013e+11       1.416504044350e+04       4.340992071798e-05       4.622177775205e+12       8.200684340669e-04       3.119567424252e+22       8.517242168249e+16       1.764302001178e+14       3.492912981895e-08       2.158019693086e+22       5.277595652236e+22       1.259278054314e+11      -1.259278053847e+11      -2.676136806406e+01       2.723195005926e-05       1.361597319409e-04       5.043845306902e-07       1.999998867963e+00 
       3.240405452533e+08       7.198414972395e-15       1.430343723769e-03       2.265474186086e+11       1.416504043356e+04       4.371379013319e-05       4.590047439791e+12       8.258089078253e-04       3.033726983187e+22       8.340855241051e+16       1.727764375208e+14       3.492912981895e-08       2.098637946488e+22       5.132373287821e+22       1.259278054304e+11      -1.259278053824e+11      -2.673346562036e+01       2.761453159650e-05       1.380726392388e-04       5.114706249290e-07       1.999998860039e+00 
       3.217880290366e+08       7.299545476894e-15       1.440356125386e-03       2.234087503571e+11       1.416504042355e+04       4.401978663388e-05       4.558140453283e+12       8.315895648257e-04       2.950248594393e+22       8.168121180290e+16       1.691983421344e+14       3.492912981895e-08       2.040890194166e+22       4.991146973613e+22       1.259278054294e+11      -1.259278053800e+11      -2.670556317675e+01       2.800248801904e-05       1.400124209550e-04       5.186562716204e-07       1.999998852059e+00 
       3.195511708274e+08       7.402096763270e-15       1.450438614484e-03       2.203135663370e+11       1.416504041347e+04       4.432792510965e-05       4.526455263106e+12       8.374106863500e-04       2.869067261803e+22       7.998964337315e+16       1.656943469364e+14       3.492912981895e-08       1.984731473865e+22       4.853806751214e+22       1.259278054284e+11      -1.259278053776e+11      -2.667766073321e+01       2.839589483857e-05       1.419794546477e-04       5.259428693751e-07       1.999998844023e+00 
       3.173298617815e+08       7.506088792076e-15       1.460591680370e-03       2.172612641022e+11       1.416504040331e+04       4.463822055431e-05       4.494990327478e+12       8.432725556486e-04       2.790119777835e+22       7.833310630112e+16       1.622629173569e+14       3.492912981895e-08       1.930118060544e+22       4.720245687929e+22       1.259278054273e+11      -1.259278053751e+11      -2.664975828975e+01       2.879482862765e-05       1.439741231797e-04       5.333318364528e-07       1.999998835931e+00 
       3.151239938114e+08       7.611541804290e-15       1.470815817811e-03       2.142512495530e+11       1.416504039309e+04       4.495068806666e-05       4.463744115335e+12       8.491754579550e-04       2.713344674174e+22       7.671087510862e+16       1.589025506058e+14       3.492912981895e-08       1.877007432337e+22       4.590359793501e+22       1.259278054262e+11      -1.259278053725e+11      -2.662185584638e+01       2.919936703464e-05       1.459968147924e-04       5.408246110381e-07       1.999998827783e+00 
       3.129334595809e+08       7.718476325253e-15       1.481111523390e-03       2.112829368206e+11       1.416504038279e+04       4.526534285115e-05       4.432715106256e+12       8.551196804991e-04       2.638682173917e+22       7.512223934164e+16       1.556117750150e+14       3.492912981895e-08       1.825358237440e+22       4.464047939154e+22       1.259278054250e+11      -1.259278053698e+11      -2.659395340308e+01       2.960958879873e-05       1.480479231818e-04       5.484226515208e-07       1.999998819577e+00 
       3.107581525000e+08       7.826913168671e-15       1.491479300967e-03       2.083557481532e+11       1.416504037242e+04       4.558220021868e-05       4.401901790388e+12       8.611055125214e-04       2.566074145026e+22       7.356650325928e+16       1.523891493938e+14       3.492912981895e-08       1.775130261918e+22       4.341211778846e+22       1.259278054239e+11      -1.259278053671e+11      -2.656605095986e+01       3.002557376536e-05       1.501278475746e-04       5.561274367796e-07       1.999998811314e+00 
       3.085979667196e+08       7.936873440657e-15       1.501919650764e-03       2.054691138031e+11       1.416504036198e+04       4.590127558732e-05       4.371302668374e+12       8.671332452873e-04       2.495464055072e+22       7.204298552900e+16       1.492332623974e+14       3.492912981895e-08       1.726284398396e+22       4.221755672702e+22       1.259278054227e+11      -1.259278053643e+11      -2.653814851673e+01       3.044740290169e-05       1.522369928067e-04       5.639404664698e-07       1.999998802993e+00 
       3.064527971263e+08       8.048378543847e-15       1.512433083917e-03       2.026224719163e+11       1.416504035147e+04       4.622258448309e-05       4.340916251280e+12       8.732031721007e-04       2.426796927213e+22       7.055101892823e+16       1.461427319094e+14       3.492912981895e-08       1.678782615606e+22       4.105586612548e+22       1.259278054214e+11      -1.259278053614e+11      -2.651024607368e+01       3.087515831239e-05       1.543757694011e-04       5.718632613153e-07       1.999998794614e+00 
