# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 14.8025 h/Mpc,
# number of wavenumbers equal to 618
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.050866176439e-02       1.621631618105e+04 
       4.071168854707e-02       1.613751403350e+04 
       4.091704923773e-02       1.605873208423e+04 
       4.112484298017e-02       1.597987391504e+04 
       4.133517477957e-02       1.590098869232e+04 
       4.154815596346e-02       1.582203100658e+04 
       4.176390468825e-02       1.574293295313e+04 
       4.198254649677e-02       1.566383249073e+04 
       4.220421493314e-02       1.558470850369e+04 
       4.242905222201e-02       1.550536935128e+04 
       4.265721002034e-02       1.542609077789e+04 
       4.288885025099e-02       1.534654765163e+04 
       4.312414602908e-02       1.526698290773e+04 
       4.336328269335e-02       1.518707706534e+04 
       4.360645895709e-02       1.510721476659e+04 
       4.385388819525e-02       1.502708446379e+04 
       4.410579988722e-02       1.494677643537e+04 
       4.436244123807e-02       1.486618941300e+04 
       4.462407900480e-02       1.478542576623e+04 
       4.489100155896e-02       1.470445048779e+04 
       4.516352122242e-02       1.462319060403e+04 
       4.544197692011e-02       1.454149390467e+04 
       4.572673720136e-02       1.445953146290e+04 
       4.601820369169e-02       1.437717697153e+04 
       4.631681504880e-02       1.429445278480e+04 
       4.662305151151e-02       1.421134876283e+04 
       4.693744014829e-02       1.412765715322e+04 
       4.726056093485e-02       1.404354877108e+04 
       4.759305381789e-02       1.395886187741e+04 
       4.793562695661e-02       1.387357979897e+04 
       4.828906637725e-02       1.378760599901e+04 
       4.865424732981e-02       1.370091852205e+04 
       4.903214770491e-02       1.361334863934e+04 
       4.942386395483e-02       1.352492287735e+04 
       4.983063007282e-02       1.343561273208e+04 
       5.025384032417e-02       1.334524019062e+04 
       5.069507660018e-02       1.325357922128e+04 
       5.115614149305e-02       1.316066258473e+04 
       5.163909847805e-02       1.306621576573e+04 
       5.214632095522e-02       1.297018157874e+04 
       5.268055236262e-02       1.287241294633e+04 
       5.324498014191e-02       1.277215576049e+04 
       5.384332702145e-02       1.266991671255e+04 
       5.447996386397e-02       1.256449500396e+04 
       5.516004913222e-02       1.245625137309e+04 
       5.588970066070e-02       1.234381562849e+04 
       5.667620544593e-02       1.222690252178e+04 
       5.752827165741e-02       1.210458484397e+04 
       5.845632220087e-02       1.197597554960e+04 
       5.947281750104e-02       1.183881979819e+04 
       6.059257069978e-02       1.169166480198e+04 
       6.183297178583e-02       1.153134627272e+04 
       6.321395681053e-02       1.135436492355e+04 
       6.475743971578e-02       1.115577793031e+04 
       6.648579745127e-02       1.092965506757e+04 
       6.841898393571e-02       1.066865382093e+04 
       7.057019964427e-02       1.036516402674e+04 
       7.294101305400e-02       1.001311947563e+04 
       7.551812613254e-02       9.610201648120e+03 
       7.827426032865e-02       9.160085275524e+03 
       8.117362273629e-02       8.673673960542e+03 
       8.417934145356e-02       8.167761303718e+03 
       8.725930436059e-02       7.662045400288e+03 
       9.038872340633e-02       7.175626449416e+03 
       9.355001524045e-02       6.724666547107e+03 
       9.673139883586e-02       6.320654720856e+03 
       9.992526925105e-02       5.969737436905e+03 
       1.031268321724e-01       5.673319670042e+03 
       1.063331094909e-01       5.428450998740e+03 
       1.095422680062e-01       5.228915217727e+03 
       1.127531854609e-01       5.066073837698e+03 
       1.159651770484e-01       4.930186143195e+03 
       1.191778256459e-01       4.810849543545e+03 
       1.223908773892e-01       4.698210346220e+03 
       1.256041777903e-01       4.583824325046e+03 
       1.288176327860e-01       4.461186808473e+03 
       1.320311850342e-01       4.326522090157e+03 
       1.352447995059e-01       4.178429863509e+03 
       1.384584547337e-01       4.018143700824e+03 
       1.416721374971e-01       3.848915312824e+03 
       1.448858395953e-01       3.675219624845e+03 
       1.480253419385e-01       3.506307583962e+03 
       1.480995558882e-01       3.502363478485e+03 
       1.513132831054e-01       3.335406897744e+03 
       1.545270191232e-01       3.178749419700e+03 
       1.577407625244e-01       3.035858175224e+03 
       1.609545123302e-01       2.908881858545e+03 
       1.641682678370e-01       2.798615475357e+03 
       1.673820285163e-01       2.704614534353e+03 
       1.705957939529e-01       2.625374789557e+03 
       1.738095638077e-01       2.558575099740e+03 
       1.770233377933e-01       2.501317228749e+03 
       1.802371156600e-01       2.450509982507e+03 
       1.834508971854e-01       2.403227116560e+03 
       1.866646821691e-01       2.356872142159e+03 
       1.898784704279e-01       2.308700218234e+03 
       1.930922617932e-01       2.256966342830e+03 
       1.963060561089e-01       2.200774437448e+03 
       1.995198532301e-01       2.140015398806e+03 
       2.027336530213e-01       2.075432233508e+03 
       2.059474553562e-01       2.008274072365e+03 
       2.091612601162e-01       1.940158916030e+03 
       2.123750671903e-01       1.872788846382e+03 
       2.155888764741e-01       1.807691106089e+03 
       2.188026878695e-01       1.746091199080e+03 
       2.220165012840e-01       1.688988617258e+03 
       2.252303166306e-01       1.636956791646e+03 
       2.284441338271e-01       1.590199154775e+03 
       2.316579527961e-01       1.548676972622e+03 
       2.348717734642e-01       1.511904982570e+03 
       2.380855957623e-01       1.479320031956e+03 
       2.412994196246e-01       1.450014042014e+03 
       2.445132449892e-01       1.422983563366e+03 
       2.477270717973e-01       1.397241662269e+03 
       2.509408999929e-01       1.371889602895e+03 
       2.541547295232e-01       1.346179604340e+03 
       2.573685603377e-01       1.319664369716e+03 
       2.605823923888e-01       1.292055674058e+03 
       2.637962256309e-01       1.263303146778e+03 
       2.670100600208e-01       1.233551063838e+03 
       2.702238955173e-01       1.203078885611e+03 
       2.734377320811e-01       1.172300853945e+03 
       2.766515696749e-01       1.141718662716e+03 
       2.798654082629e-01       1.111811241122e+03 
       2.830792478110e-01       1.083060763377e+03 
       2.862930882869e-01       1.055845549898e+03 
       2.895069296594e-01       1.030431226968e+03 
       2.927207718987e-01       1.006892389806e+03 
       2.959346149766e-01       9.852146863570e+02 
       2.991484588658e-01       9.652445700926e+02 
       3.023623035404e-01       9.467545240153e+02 
       3.055761489754e-01       9.294907559956e+02 
       3.087899951470e-01       9.131306491759e+02 
