# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  134       5.048937657078e-10       1.470593851127e-13      -5.599260021580e-12       7.816684863811e-16       4.887848687342e-12       8.180607748317e-13      -5.074537001321e-15 
  135       5.094123643143e-10       1.474110005568e-13      -5.647357216323e-12       7.940797282912e-16       4.786596353861e-12       8.047604845090e-13      -5.005713759183e-15 
  136       5.139261709241e-10       1.476980253055e-13      -5.693097919431e-12       8.066151876713e-16       4.688157629402e-12       7.917680822624e-13      -4.938517624447e-15 
  137       5.184339946667e-10       1.479202970360e-13      -5.736421510598e-12       8.192759240167e-16       4.592459697834e-12       7.790771046342e-13      -4.872739282326e-15 
  138       5.229345770915e-10       1.480777298091e-13      -5.777268224959e-12       8.320630140763e-16       4.499414450031e-12       7.666793169772e-13      -4.808149618055e-15 
  139       5.274265906087e-10       1.481703157587e-13      -5.815579191041e-12       8.449775519824e-16       4.408918120079e-12       7.545646700120e-13      -4.744499295774e-15 
  140       5.319086369286e-10       1.481981267819e-13      -5.851296468711e-12       8.580206493789e-16       4.320850921479e-12       7.427212563838e-13      -4.681518337423e-15 
  141       5.363792455016e-10       1.481613162291e-13      -5.884363087134e-12       8.711934355507e-16       4.235076683357e-12       7.311352672197e-13      -4.618915701627e-15 
  142       5.408368719580e-10       1.480601205931e-13      -5.914723082715e-12       8.844970575526e-16       4.151442486668e-12       7.197909486858e-13      -4.556378862589e-15 
  143       5.452798965481e-10       1.478948611996e-13      -5.942321537058e-12       8.979326803381e-16       4.069778300400e-12       7.086705585445e-13      -4.493573388980e-15 
  144       5.497067549693e-10       1.476659550682e-13      -5.967104947435e-12       9.115013698102e-16       3.989932632438e-12       6.977582356804e-13      -4.430212327595e-15 
  145       5.541163486770e-10       1.473739451357e-13      -5.989022299260e-12       9.252037287067e-16       3.911884211364e-12       6.870521303409e-13      -4.366272952638e-15 
  146       5.585076722474e-10       1.470194762386e-13      -6.008024171980e-12       9.390402248963e-16       3.835640674687e-12       6.765533927591e-13      -4.301800683983e-15 
  147       5.628796838306e-10       1.466032879361e-13      -6.024062455561e-12       9.530113046937e-16       3.761203387434e-12       6.662623468000e-13      -4.236841181434e-15 
  148       5.672313043508e-10       1.461262162533e-13      -6.037090390348e-12       9.671173923168e-16       3.688567285332e-12       6.561784690049e-13      -4.171440324791e-15 
  149       5.715614167077e-10       1.455891954231e-13      -6.047062606924e-12       9.813588893419e-16       3.617720717999e-12       6.463003676376e-13      -4.105644193915e-15 
  150       5.758688649767e-10       1.449932596291e-13      -6.053935165975e-12       9.957361741603e-16       3.548645292131e-12       6.366257617297e-13      -4.039499048799e-15 
  151       5.801524536100e-10       1.443395447477e-13      -6.057665598153e-12       1.010249601434e-15       3.481315714684e-12       6.271514601258e-13      -3.973051309630e-15 
  152       5.844109466370e-10       1.436292900916e-13      -6.058212943935e-12       1.024899501552e-15       3.415699636064e-12       6.178733405291e-13      -3.906347536858e-15 
  153       5.886430668654e-10       1.428638401511e-13      -6.055537793487e-12       1.039686180088e-15       3.351757493316e-12       6.087863285469e-13      -3.839434411262e-15 
  154       5.928474950817e-10       1.420446463376e-13      -6.049602326525e-12       1.054609917251e-15       3.289442353303e-12       5.998843767360e-13      -3.772358714015e-15 
  155       5.970228692518e-10       1.411732687259e-13      -6.040370352179e-12       1.069670967350e-15       3.228699755901e-12       5.911604436481e-13      -3.705167306755e-15 
  156       6.011677837222e-10       1.402513777963e-13      -6.027807348853e-12       1.084869558242e-15       3.169467557181e-12       5.826064728754e-13      -3.637907111646e-15 
  157       6.052807884202e-10       1.392807561778e-13      -6.011880504087e-12       1.100205890794e-15       3.111675772597e-12       5.742133720959e-13      -3.570625091448e-15 
  158       6.093603880552e-10       1.382633003903e-13      -5.992558754422e-12       1.115680138334e-15       3.055246420169e-12       5.659709921186e-13      -3.503368229583e-15 
  159       6.134050413187e-10       1.372010225872e-13      -5.969812825256e-12       1.131292446111e-15       3.000093363679e-12       5.578681059296e-13      -3.436183510200e-15 
  160       6.174131600860e-10       1.360960522978e-13      -5.943615270714e-12       1.147042930751e-15       2.946122155845e-12       5.498923877371e-13      -3.369117898244e-15 
  161       6.213832197976e-10       1.349505888309e-13      -5.913940379121e-12       1.162931690102e-15       2.893249390861e-12       5.420331968639e-13      -3.302216616491e-15 
  162       6.253141032553e-10       1.337667500960e-13      -5.880763796361e-12       1.178958834898e-15       2.841463014424e-12       5.342902500772e-13      -3.235517847279e-15 
  163       6.292047858433e-10       1.325467136809e-13      -5.844062945240e-12       1.195124458869e-15       2.790767072210e-12       5.266656796991e-13      -3.169057521957e-15 
  164       6.330542267957e-10       1.312927664922e-13      -5.803817195807e-12       1.211428628113e-15       2.741162613702e-12       5.191612897499e-13      -3.102870954234e-15 
  165       6.368613689082e-10       1.300073062701e-13      -5.760007904593e-12       1.227871380594e-15       2.692647625131e-12       5.117785478986e-13      -3.036992812402e-15 
  166       6.406251382510e-10       1.286928431050e-13      -5.712618453858e-12       1.244452725652e-15       2.645216962425e-12       5.045185774127e-13      -2.971457091574e-15 
  167       6.443444438808e-10       1.273520009521e-13      -5.661634290837e-12       1.261172643500e-15       2.598862284154e-12       4.973821491089e-13      -2.906297085909e-15 
  168       6.480181775530e-10       1.259875191477e-13      -5.607042966977e-12       1.278031084736e-15       2.553571984478e-12       4.903696733027e-13      -2.841545360848e-15 
  169       6.516452134342e-10       1.246022539241e-13      -5.548834177187e-12       1.295027969839e-15       2.509331126094e-12       4.834811917593e-13      -2.777233725344e-15 
  170       6.552244078141e-10       1.231991799255e-13      -5.486999799081e-12       1.312163188679e-15       2.466121373182e-12       4.767163696430e-13      -2.713393204090e-15 
